[10/40][200/504]	Loss_D: 0.6201	Loss_G: 2.0624	D(x): 0.7124	D(G(z)): 0.1396 / 0.2339
[10/40][250/504]	Loss_D: 0.3470	Loss_G: 4.2925	D(x): 0.9215	D(G(z)): 0.1955 / 0.0232
[10/40][300/504]	Loss_D: 0.2166	Loss_G: 3.4558	D(x): 0.8912	D(G(z)): 0.0738 / 0.0527
[10/40][350/504]	Loss_D: 0.6135	Loss_G: 3.1880	D(x): 0.7052	D(G(z)): 0.0733 / 0.1127
[10/40][400/504]	Loss_D: 0.2540	Loss_G: 3.3452	D(x): 0.8662	D(G(z)): 0.0650 / 0.0598
[10/40][450/504]	Loss_D: 0.3754	Loss_G: 4.5511	D(x): 0.8973	D(G(z)): 0.1791 / 0.0183
[10/40][500/504]	Loss_D: 0.9301	Loss_G: 1.0105	D(x): 0.5114	D(G(z)): 0.0222 / 0.4939
[11/40][0/504]	Loss_D: 0.4338	Loss_G: 3.2802	D(x): 0.7470	D(G(z)): 0.0397 / 0.1091
[11/40][50/504]	Loss_D: 0.1410	Loss_G: 4.7454	D(x): 0.9472	D(G(z)): 0.0700 / 0.0164
[11/40][100/504]	Loss_D: 0.1647	Loss_G: 4.6219	D(x): 0.9500	D(G(z)): 0.0924 / 0.0163
[11/40][150/504]	Loss_D: 1.2273	Loss_G: 9.4070	D(x): 0.9875	D(G(z)): 0.5457 / 0.0004
[11/40][200/504]	Loss_D: 0.2601	Loss_G: 4.4785	D(x): 0.9346	D(G(z)): 0.1396 / 0.0206
[11/40][250/504]	Loss_D: 0.1392	Loss_G: 4.5710	D(x): 0.9106	D(G(z)): 0.0339 / 0.0223
[11/40][300/504]	Loss_D: 0.4421	Loss_G: 3.6921	D(x): 0.8812	D(G(z)): 0.2067 / 0.0439
[11/40][350/504]	Loss_D: 0.2248	Loss_G: 3.0837	D(x): 0.8814	D(G(z)): 0.0726 / 0.0765
[11/40][400/504]	Loss_D: 1.0865	Loss_G: 5.1469	D(x): 0.9178	D(G(z)): 0.4947 / 0.0221
[11/40][450/504]	Loss_D: 0.2520	Loss_G: 4.1124	D(x): 0.9014	D(G(z)): 0.1059 / 0.0359
[11/40][500/504]	Loss_D: 0.2114	Loss_G: 3.7418	D(x): 0.9175	D(G(z)): 0.0967 / 0.0402
[12/40][0/504]	Loss_D: 0.1600	Loss_G: 3.9126	D(x): 0.9478	D(G(z)): 0.0897 / 0.0311
[12/40][50/504]	Loss_D: 0.2669	Loss_G: 3.3763	D(x): 0.8541	D(G(z)): 0.0721 / 0.0683
